,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
174,Sat Sep 23 12:01:33 +0000 2023,0.0,cdm terima kasih,1.705552985076687e+18,in,,0.0,0.0,0.0,sentamour,Transsemarang
175,Sat Sep 23 05:03:11 +0000 2023,0.0,turun thamrin city shelter terdekat ojol gapapa berhenti shelter terdekat,1.7054476979086461e+18,in,read carrd byf. || 20+,0.0,1.0,0.0,scorpiuslino,Transsemarang
176,Tue Sep 19 10:59:54 +0000 2023,59.0,transformasi trans semarang sesuai riset bus unit unit koridor utama koridor koridor penumpang selamat hut,1.7040879190558395e+18,in,Jakarta Capital Region,9.0,1.0,18.0,insanridho,Transsemarang
177,Tue Sep 19 07:30:50 +0000 2023,0.0,halo admin pengaduan membeli tiket brt balaikota selasa september orang petugas bernama sdri devarasya sdri yulina melayani ramah sopan,1.7040353019777152e+18,in,,0.0,1.0,0.0,hotchokoreeto,Transsemarang
178,Tue Sep 19 02:18:16 +0000 2023,0.0,iseng cek ahmad yani klipang widih ngeri banget rutenya ngga langsung sih,1.703956642277335e+18,in,semarang,0.0,1.0,0.0,ariomalv,Transsemarang
179,Fri Sep 15 07:59:43 +0000 2023,0.0,permisi hotel mg setos hotel semarang rsu ungaran naiknya halte turunnya halte yaa terima kasih,1.7025930213790356e+18,in,Purwodadi,0.0,1.0,0.0,wndksmaa,Transsemarang
180,Thu Sep 14 08:28:53 +0000 2023,0.0,halo jelasin rute st tawang unnes pemberangkatan terakhirnya jam terima kasih d,1.7022379730881905e+18,in,,0.0,1.0,0.0,sereitoonin,Transsemarang
181,Sun Sep 10 05:00:58 +0000 2023,0.0,om admin mohon informasi minggu tarif anak kia tunai,1.7007360994492296e+18,in,,0.0,1.0,0.0,achiles388,Transsemarang
182,Thu Aug 24 08:36:46 +0000 2023,0.0,halte rsi perpusda jateng bus koridor,1.6946298114305597e+18,in,negeri entah brantah,0.0,1.0,0.0,misroppadit,Transsemarang
183,Tue Aug 22 03:07:26 +0000 2023,0.0,cangkiran stasiun poncol rutenya gimana yaa makasihh,1.6938221547423706e+18,in,,0.0,1.0,0.0,parkjimingurl,Transsemarang
184,Mon Aug 21 08:10:27 +0000 2023,0.0,koridor johar sampangan arah halte halte elizabeth transit dimana transit gitu bayar terima kasih,1.693536026919359e+18,in,,0.0,1.0,0.0,peachyspoem,Transsemarang
185,Mon Aug 21 08:07:04 +0000 2023,0.0,halte imam bardjo langsung tanah putih,1.6935351754923748e+18,in,do not ss,0.0,2.0,0.0,kewntod,Transsemarang
186,Sun Aug 20 06:43:57 +0000 2023,0.0,info rute rusunawa undip sampe halte tanah putih,1.6931518672815434e+18,in,do not ss,0.0,1.0,0.0,kewntod,Transsemarang
187,Sun Aug 20 01:49:58 +0000 2023,0.0,brt jalan talang bengkok patemon jalan ngesrep tim sumurboto batik benang ratu gimana yaa,1.693077885714903e+18,in,exoplanet,0.0,1.0,0.0,sejunion,Transsemarang
188,Thu Aug 17 14:15:53 +0000 2023,0.0,transit trans jateng bawen poltekkes pedurungan naiknya koridor tetep kah,1.692178439011517e+18,in,campur rant acc,0.0,1.0,0.0,pacarfourth,Transsemarang
189,Wed Aug 16 04:47:43 +0000 2023,0.0,halo nanya terminal penggaron halte transit rencananya feeder penggaron dilanjutkan brt penggaron mangkang terima kasih,1.6916730668192604e+18,in,"Semarang, Jawa Tengah",0.0,1.0,0.0,hazelnutaddict,Transsemarang
190,Tue Aug 15 17:47:54 +0000 2023,0.0,halo sekaran unnes cempakasari tujuan pollux paragon balaikota gmn rutenyaa,1.6915070199316849e+18,in,,0.0,3.0,0.0,unprettyboy7,Transsemarang
191,Mon Aug 14 11:02:03 +0000 2023,0.0,bis koridor jam segini,1.6910424934948536e+18,in,"Jawa Tengah, Indonesia",0.0,1.0,0.0,yourfavshawl,Transsemarang
192,Mon Aug 14 09:59:08 +0000 2023,0.0,halo rute stasiun semarang tawang pasar karangjati oper koridor,1.6910266626481316e+18,in,,0.0,1.0,1.0,jjnolly,Transsemarang
193,Mon Aug 14 00:34:28 +0000 2023,0.0,senin buru udah jam dapet brt eh koridor numpuk disitu,1.69088455697365e+18,in,,0.0,1.0,0.0,hwanniyaa,Transsemarang
