,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
563,Fri Jun 07 15:11:59 +0000 2024,0,rute cawang cibubur jam,1799096974672814354,in,,0,1,0,abuabuhiu,Transjakarta
564,Fri Jun 07 14:02:58 +0000 2024,0,halo patung kuda penutupan jalan kawasan patung kuda baiknya koridor turun halte,1799079608761110967,in,,0,1,0,vourmintc,Transjakarta
565,Fri Jun 07 12:53:20 +0000 2024,0,emangnya tj e kah,1799062086347317688,in,,0,2,0,cemprreng,Transjakarta
566,Fri Jun 07 12:52:48 +0000 2024,0,halo s malam jelambar berangkat jam brp,1799061950070223268,in,Pineapple house under the sea,0,1,0,raihcitacitamu,Transjakarta
567,Fri Jun 07 12:51:57 +0000 2024,0,hallo rute tije halte bundaran hi gereja katedral jakarta gimana yaa transum rute tije jakarta,1799061736819134636,in,,0,3,0,meypunzel,Transjakarta
568,Fri Jun 07 12:47:12 +0000 2024,0,rute tanjung duren ancol,1799060542470144440,in,acc bokep dni,0,4,0,sereqty,Transjakarta
569,Fri Jun 07 12:29:30 +0000 2024,1,halte pulogadung gabisa sholat berguna banget kepepet please perbaikan diperbaiki secepatnya yaa makasih,1799056085791527165,in,,0,1,0,winslovess,Transjakarta
570,Fri Jun 07 12:27:59 +0000 2024,0,tj mrt dapet diskon mrt tj rp program karna ultah jakarta miin semoga berlanjut yaa thank you for today,1799055702897631271,in,,0,1,0,lovelybbyjjm,Transjakarta
571,Fri Jun 07 12:26:29 +0000 2024,0,antri banget pintu tap in out halte cawang cikoko stasiun cawang jam,1799055327125811562,in,"Tokyo-to, Japan",0,0,0,imami_san,Transjakarta
572,Fri Jun 07 12:22:18 +0000 2024,43,jujur guweh capek komplen emang wajib dikomplen tolong jelasin fasilitas publik jadwal buka alias lift halte kebayoran error minggu ganti pake prosotan fx,1799054272447074486,in,Jakarta Capital Region,0,3,5,ceritadungimut,Transjakarta
573,Fri Jun 07 12:19:43 +0000 2024,0,halo jam operasional rute s sampe jam terima kasih,1799053624376774691,in,,0,1,0,peaceluvngawl,Transjakarta
