,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
91,Thu Jun 20 03:09:52 +0000 2024,0,Halo min @PT_Transjakarta terkait adanya layanan gratis transjakarta. Saya ingin bertanya apa saja persyaratan layanan gratis transjakarta untuk kategori KJP? Terima kasih,1803626293675888764,in,,0,1,0,Bagass9_,Transjakarta
92,Thu Jun 20 02:42:59 +0000 2024,0,Jam Layanan Transjakarta ke Bandara Soekarno Hatta Diperpanjang @PT_Transjakarta #transjakarta #bandarasoekarnohatta #tangerang https://t.co/u23d5KmLzx,1803619527235870753,in,,0,0,0,sinpotv,Transjakarta
93,Thu Jun 20 02:30:50 +0000 2024,0,min @PT_Transjakarta dari halte sunter kelapa gading kalo mau ke JCC transit dimana ya?,1803616467377856889,in,في سبيل الله,0,3,0,09_mftlm,Transjakarta
94,Thu Jun 20 02:29:04 +0000 2024,126,Pagi ini telat karena ada bus berenti di jalur Transjakarta depan Halte Gelora Bung Karno kirain kenapa taunya @PT_Transjakarta https://t.co/Pn8IfNxm0b,1803616023343669309,in,Jakarta Capital Region,7,9,11,irhamsyarif,Transjakarta
95,Thu Jun 20 02:08:17 +0000 2024,0,nangis banget baru naik busway yang ke-5 masa harus tunggu busway perbantuan dulu. pls perbanyak lagi D21 nya@PT_Transjakarta https://t.co/8xmlONHJZY,1803610794367803652,in,"Jakarta, Indonesia",0,2,0,stupinity,Transjakarta
96,Thu Jun 20 01:59:02 +0000 2024,4,Edukasi driver Jak lingko gmn cara menjawab pertanyaan penumpang. Males2an ditanya yg jalan angkot mana nunjuk dr jauh malah nyolot depan yg mana lg mbak @PT_Transjakarta Jaklingko 19 Pinang Ranti Kp rambutan https://t.co/kb48Wr7cTM,1803608467082715491,in,"Jakarta, Indonesia",0,3,2,oviolvb,Transjakarta
97,Thu Jun 20 01:49:45 +0000 2024,0,Halo min @PT_Transjakarta mau nanya kalau dr Pinang Ranti sampai Charoen Pokphand Ancol Barat naik apa aja ya? Makasi min,1803606129840366074,in,B25 MAT,0,3,0,BaronBram,Transjakarta
98,Thu Jun 20 01:21:05 +0000 2024,1,Adakah yg merasa kehilangan earbuds di bus 6Q berangkat jam 7.40an. Atau krl rawa buaya duri jam 6.50an atau duri sudirman jam 7.10an ? Kamis 19 Jun 2024 @CommuterLine @PT_Transjakarta https://t.co/hdunrxKi0g,1803598915259998476,in,,0,0,0,dreamyexoxo,Transjakarta
99,Thu Jun 20 01:03:47 +0000 2024,0,Halo @PT_Transjakarta 7C skrg jadi ke Cawang sentral bukan ke BKN ya? Malah jadi lama antrian masuk haltenya sampai 10 menit hanya untuk antri sampai halte. Mohon dievaluasi lagi agar semakin cepat bukan malah jadi semakin lama. Terima kasih,1803594564403601722,in,"Depok, Indonesia.",0,2,0,astritria,Transjakarta
100,Thu Jun 20 01:03:04 +0000 2024,0,Min @PT_Transjakarta tolong petugas di halte Senayan lebih tegas crowd control-nya. Tadi naik 9A jam 7.45an udah full penumpang dalem udah minta stop masukin orang tapi petugas masih masukin sampe banyak yang kegencet,1803594382534459646,in,Rollin,0,1,0,adinafayza,Transjakarta
