,created_at,favorite_count,full_text,id_str,lang,location,quote_count,reply_count,retweet_count,username,keyword
22,Fri Mar 08 14:46:47 +0000 2024,3,lulus orang jakarta angkot,1766113339326050614,in,,0,0,0,moondanqis,Jakarta-angkot.csv
23,Sat Feb 17 01:45:49 +0000 2024,30,perorangan pakai pertamax shell super subsidi bbm sih ngaruh tu kurir ekspedisi truck ayam truck sayur gojek angkot elf jakarta serang pakenya pertalite solar mampus lu rasain harga harga naek,1758669045237428437,in,Indonesia,1,2,6,Twt_dr_je,Jakarta-angkot.csv
24,Sun Mar 10 04:42:37 +0000 2024,0,angkot jakarta tuhhh luas gasii angkot bogor,1766686071109406926,in,,0,0,0,Susahipp,Jakarta-angkot.csv
25,Wed Feb 28 13:56:31 +0000 2024,10,halo jfriends mencoba angkot ac gratis jakarta salah rute dilayani angkot ac mikrotrans jak terminal rawamangun manggarai via pisangan pondok jati mikrotrans dimiliki pt lestari surya gema persada lsg,1762839196337942883,in,"Tambora, Indonesia",1,2,0,jalur5_,Jakarta-angkot.csv
26,Wed Feb 14 07:25:20 +0000 2024,0,rekapan nyoblos ni kertas alumni ugm kertas petahana kertas ketiga ex calon wagub kertas keempat supir angkot done from tps jagakarsa jakarta selatan jangangolput,1757667321592910325,in,,0,1,2,RizkyG_p,Jakarta-angkot.csv
27,Fri May 03 08:57:00 +0000 2024,14,sopir angkot kwk jurusan grogol cengkareng viral memakai selang oksigen menderita penyakit berbahaya sopir angkot bernama sa at berasal medan merantau jakarta ist,1786319032515195032,in,Indonesia,1,0,6,tribunnews,Jakarta-angkot.csv
28,Thu Mar 14 13:06:20 +0000 2024,2,tinggal jakarta tj angkot kwk merah jaklingko kena macet mengeluh wajar wajar orang ngeluh macet kendaaran pribadi salah penyumbang kemacetan kendaraan pake,1768262387558490149,in,"JAKARTA,INDONESIA",0,0,1,Muhammad_bayu10,Jakarta-angkot.csv
29,Wed Feb 28 10:55:30 +0000 2024,11,rute transjakarta pulo gadung walikota jakarta utara via tipar cakung m dihentikan protes sopir angkot sehubungan penolakan sopir angkutan reguler u pembukaan rute m rute m dihentikan kepala,1762793644590002503,in,"Tambora, Indonesia",1,1,4,jalur5_,Jakarta-angkot.csv
30,Sat Jun 01 15:50:24 +0000 2024,0,kek nya nunggu cewe makeup bandung jakarta via angkot,1796932315794571582,in,,0,1,0,fuckinex,Jakarta-angkot.csv
31,Wed May 08 06:45:06 +0000 2024,1,bantu isi kuisioner penelitianku butuh responden kriterianya ragam transportasi jakarta tj angkot mrt lrt krl saldo e wallet total k orang beruntung drop cont,1788097777307885688,in,,0,11,0,convomf,Jakarta-angkot.csv
32,Wed Apr 17 04:13:33 +0000 2024,0,harga angkot jakarta berapaan sih,1780449496616644897,in,Kwangya,0,2,0,babyyvenom,Jakarta-angkot.csv
33,Fri Mar 15 09:43:34 +0000 2024,8,transum jakarta tuh penumpang mrt menit disuruh transit angkot menit,1768573747794170143,in,,0,3,0,em_er_zet,Jakarta-angkot.csv
34,Fri May 24 11:23:15 +0000 2024,8,minggu gw intens bolak jakarta bekasi motor gw jaklinko pas udh sampe jalur bekasi udah jaklinko tuh pake angkot merah minggu naek angkot merah tarifnya beda cuk wkwk,1793965984581394671,in,pyongyang,0,3,2,barubikinlol,Jakarta-angkot.csv
35,Tue Apr 02 01:04:19 +0000 2024,5,faktanya kota kapasitas fiskalnya memadai bangun mrt jakarta itupun dibantu pusat aneh rakyat jelata kemakan janji bangun transum masal kota setara jakarta setara angkot jaklingko aj sih,1774966055255036159,in,tumaritis,2,1,0,_balade_sauvage,Jakarta-angkot.csv
36,Sun Jun 02 09:00:06 +0000 2024,1,guys orang bandung jakarta rencananya jakarta fair kereta gimana kayak turun stasiun angkot ojolnya gitu takut nyasar nanya nanya disana takut berniat,1797191450503131645,in,Indonesia,0,2,0,tanyakanrl,Jakarta-angkot.csv
37,Fri Feb 16 02:31:38 +0000 2024,10,hah lu ngetik anjir wkwkw org jakarta jkt gada mikrolet angkot digeser diajak kerjasama pemerintah drivernya digaji,1758318186448236677,in,Product Design'22,0,1,0,naracchin,Jakarta-angkot.csv
38,Fri May 03 04:41:31 +0000 2024,1,dw pookieeeeee i will fight thanos prabski gibron oligarki jakarta supir angkot resekkk pki temenmu maksa kos bareng for youuuuuuuu,1786254739627454813,in,chronically online,1,1,0,jahpouta,Jakarta-angkot.csv
39,Fri May 03 23:31:10 +0000 2024,2,sopir angkot jakarta narik pakai selang oksigen bersyukur pondsxtzuyu tenangkankulitmu beritaindonesia beritadunia indonesiau,1786539025266028974,in,"INDONESIA , JAKARTA ",0,0,0,2zodGabriel,Jakarta-angkot.csv
40,Fri May 10 17:36:31 +0000 2024,509,jakarta angkot busuk kek gitu bayangin daerah kek,1788986489336131639,in,,8,55,22,MuhammadSa16610,Jakarta-angkot.csv
41,Sat Mar 30 03:44:50 +0000 2024,29,info kecelakaan angkot mobil sienta jalan matraman raya jakarta timur tepatnya pasar palmeriam kondisi mobil sienta mengalami rusak berat situasi lintas mengalami kepadatan p ferry elshintaweekend,1773919285641138628,in,,2,5,16,RadioElshinta,Jakarta-angkot.csv
42,Tue Apr 02 06:15:50 +0000 2024,166,tangsel kota autopilot dibanggakan dibangun swasta spt bsd city bintaro jaya alam sutera transportasi kota usia tk angkot tua bayarnya pakai cash udahlah tangerang raya gabung jakarta pindah provinsi,1775044452786327917,in,,5,5,18,sendysantuy123,Jakarta-angkot.csv
